Name,1st_Serve_Percentage,1st_Serve_Won_Percentage,1st_Srv._Return_Won_Percentage,2nd_Serve_Won_Percentage,2nd_Srv._Return_Won_Percentage,Ace_Percentage,Ace_Against_Percentage,Age,Backhand,Best_Elo_Rank,Best_Rank,Best_Season,Birthplace,Break_Points_Ratio,Break_Points_Saved_Percentage,Break_Points_Won_Percentage,Coach,Country,Current_Elo_Rank,Davis_Cups,Double_Fault_Percentage,Double_Fault_Against_Percentage,Favorite_Surface,GOAT_Rank,Games_Dominance,Games_Won_Percentage,Grand_Slams,H2H_Percentage,Height_cm,Last_Appearance,Masters,Match_Time,Matches_Won_Percentage,Olympics,Plays,Points_Dominance,Prize_Money_USD,Residence,Return_Games_Won_Percentage,Return_Points_Won_Percentage,Seasons,Service_Games_Won_Percentage,Service_Points_Won_Percentage,Sets_Won_Percentage,Team_Cups,Titles,Total_Points_Won_Percentage,Tour_Finals,Turned_Pro,Weeks_at_No._1,Best_Elo_Rank_Date,Best_Rank_Date,Current_Elo_Rank_Points,Current_Rank_Points,GOAT_Rank_Points,Date_Of_Birth,Total_Win_Percentage,Total_Matches_Won,Total_Matches_Lost,Favorite_Surface_Percentage,Hard_Win_Percentage,Hard_Matches_Won,Hard_Matches_Lost,Clay_Win_Percentage,Clay_Matches_Won,Clay_Matches_Lost,Carpet_Win_Percentage,Carpet_Matches_Won,Carpet_Matches_Lost,Grass_Win_Percentage,Grass_Matches_Won,Grass_Matches_Lost
Tomas Martin Etcheverry,0.65,0.6729999999999999,0.276,0.512,0.473,0.063,0.059000000000000004,23,Two-handed,111,61,,,0.86,0.603,0.342,,Argentina,111,0,0.028999999999999998,0.03,Clay,0,0.71,0.46299999999999997,0,0.0,196,2023-02-27,0,1900-01-01 02:13:00,0.33299999999999996,0,Right-handed,0.91,336472,,0.17300000000000001,0.35,3,0.755,0.617,0.375,0,0,0.484,0,,0,2023-03-06,2023-03-06,1796,822,0,1999-07-18,0.33299999999999996,11,22,0.16,0.273,3,8,0.381,8,13,0.0,0,0,0.0,0,1
Constant Lestienne,0.62,0.677,0.285,0.455,0.496,0.055999999999999994,0.098,30,Two-handed,85,48,,,0.88,0.5539999999999999,0.391,,France,110,0,0.04,0.032,Hard,0,0.68,0.46299999999999997,0,,180,2023-02-27,0,1900-01-01 01:40:00,0.429,0,Right-handed,0.89,606598,,0.204,0.363,6,0.698,0.593,0.439,0,0,0.48200000000000004,0,2012.0,0,2023-01-30,2023-02-06,1796,821,0,1992-05-23,0.429,12,16,1.0,0.462,12,14,0.0,0,2,0.0,0,0,0.0,0,0
Alex Molcan,0.65,0.669,0.308,0.524,0.508,0.046,0.078,25,Two-handed,41,38,,,0.96,0.586,0.396,,Slovakia,74,0,0.03,0.028999999999999998,Clay,0,0.98,0.49700000000000005,0,,178,2023-02-27,0,1900-01-01 01:49:00,0.516,0,Left-handed,1.0,764855,,0.23800000000000002,0.381,3,0.757,0.618,0.5,0,0,0.499,0,2015.0,0,2022-07-25,2022-05-23,1852,820,0,1997-12-01,0.516,33,31,0.47,0.35700000000000004,10,18,0.667,20,10,0.0,0,0,0.5,3,3
Federico Coria,0.665,0.631,0.321,0.488,0.516,0.033,0.043,30,Two-handed,86,49,,,0.96,0.564,0.41700000000000004,,Argentina,116,0,0.032,0.036000000000000004,Clay,0,0.81,0.47,0,1.0,180,2023-02-13,0,1900-01-01 01:53:00,0.435,0,Right-handed,0.94,1543801,,0.26,0.39299999999999996,5,0.679,0.583,0.41,0,0,0.488,0,2010.0,0,2022-05-22,2023-02-13,1793,810,0,1992-03-09,0.435,40,52,0.48,0.231,6,20,0.531,34,30,0.0,0,0,0.0,0,2
Gregoire Barrere,0.633,0.6920000000000001,0.266,0.48700000000000004,0.488,0.062,0.1,29,Two-handed,100,58,,,0.82,0.551,0.36700000000000005,,France,100,0,0.032,0.046,Hard,0,0.69,0.46,0,0.5,183,2023-02-20,0,1900-01-01 01:50:00,0.33299999999999996,0,Right-handed,0.92,1498034,,0.179,0.35100000000000003,8,0.741,0.617,0.37,0,0,0.484,0,2012.0,0,2023-03-06,2023-02-20,1805,799,0,1994-02-16,0.33299999999999996,18,36,0.47,0.385,15,24,0.182,2,9,0.0,0,0,0.25,1,3
Pedro Cachin,0.626,0.7020000000000001,0.276,0.48,0.47600000000000003,0.08,0.054000000000000006,27,Two-handed,133,54,,,0.83,0.5870000000000001,0.344,,Argentina,163,0,0.025,0.028999999999999998,None,0,0.73,0.465,0,,185,2023-02-27,0,1900-01-01 01:57:00,0.34600000000000003,0,Right-handed,0.93,351047,,0.177,0.354,6,0.7559999999999999,0.619,0.36200000000000004,0,0,0.48700000000000004,0,,0,2022-10-24,2022-11-14,1694,797,0,1995-04-12,0.34600000000000003,9,17,0.01,0.364,4,7,0.33299999999999996,5,10,0.0,0,0,0.0,0,0
Yibing Wu,0.595,0.7,0.303,0.535,0.436,0.061,0.10099999999999999,23,Two-handed,77,58,,,1.05,0.654,0.36200000000000004,,China,78,0,0.027000000000000003,0.037000000000000005,Hard,0,0.84,0.484,0,,183,2023-02-06,0,1900-01-01 01:53:00,0.524,0,Right-handed,0.96,114311,,0.175,0.35100000000000003,5,0.792,0.633,0.49200000000000005,0,1,0.495,0,2017.0,0,2023-02-20,2023-02-13,1845,793,0,1999-10-14,0.524,11,10,1.0,0.5,10,10,0.0,0,0,0.0,0,0,0.0,0,0
Adrian Mannarino,0.604,0.696,0.28300000000000003,0.508,0.498,0.061,0.092,34,Two-handed,29,22,2019.0,,1.0,0.593,0.409,,France,60,0,0.033,0.038,Grass,388,0.91,0.489,0,0.358,183,2023-02-27,0,1900-01-01 01:41:00,0.46,0,Left-handed,0.97,8880161,,0.217,0.368,16,0.762,0.621,0.462,0,2,0.495,0,2004.0,0,2018-01-15,2018-03-19,1888,791,3,1988-06-29,0.46,250,294,0.53,0.47100000000000003,178,200,0.22399999999999998,15,52,0.0,0,0,0.5760000000000001,57,42
Corentin Moutet,0.677,0.647,0.303,0.488,0.5,0.026000000000000002,0.061,23,Two-handed,48,51,,,0.91,0.564,0.397,,France,49,0,0.038,0.036000000000000004,Hard,0,0.8,0.47,0,0.5,175,2023-01-16,0,1900-01-01 02:10:00,0.446,0,Left-handed,0.93,2087109,,0.228,0.376,6,0.715,0.596,0.44799999999999995,0,0,0.486,0,2016.0,0,2022-11-07,2022-11-07,1912,780,0,1999-04-19,0.446,45,56,0.22,0.5,27,27,0.375,15,25,0.0,0,0,0.429,3,4
Soon Woo Kwon,0.603,0.7020000000000001,0.27699999999999997,0.509,0.51,0.06,0.115,25,Two-handed,47,52,2023.0,,0.93,0.595,0.375,,"Korea, Republic of",55,0,0.038,0.036000000000000004,Hard,433,0.94,0.491,0,0.41700000000000004,180,2023-02-20,0,1900-01-01 02:05:00,0.483,0,Right-handed,0.98,1715190,,0.212,0.36700000000000005,7,0.774,0.625,0.473,0,2,0.495,0,2015.0,0,2023-01-16,2021-11-01,1898,739,2,1997-12-02,0.483,56,60,0.27,0.511,45,43,0.444,8,10,0.0,0,0,0.33299999999999996,3,6
Dusan Lajovic,0.6629999999999999,0.6759999999999999,0.284,0.519,0.488,0.046,0.067,32,One-handed,35,23,2019.0,,0.97,0.598,0.391,,Serbia,80,0,0.023,0.036000000000000004,Clay,412,0.9,0.488,0,0.34299999999999997,180,2023-02-27,0,1900-01-01 01:46:00,0.434,0,Right-handed,0.96,7502883,,0.209,0.36200000000000004,14,0.769,0.623,0.45399999999999996,1,1,0.494,0,2007.0,0,2019-04-22,2019-04-29,1838,738,3,1990-06-30,0.434,170,222,0.41,0.39,69,108,0.49200000000000005,94,97,0.0,0,0,0.273,6,16
Arthur Rinderknech,0.648,0.748,0.256,0.485,0.455,0.12,0.081,27,Two-handed,53,42,,,1.08,0.657,0.369,,France,79,0,0.027000000000000003,0.033,"Slow (H, Cl)",0,1.0,0.496,0,0.2,196,2023-02-20,0,1900-01-01 01:57:00,0.494,0,Right-handed,0.96,1094599,,0.16,0.33,4,0.84,0.655,0.47,0,0,0.495,0,2018.0,0,2022-10-31,2022-10-31,1843,737,0,1995-07-23,0.494,41,42,0.24,0.518,29,27,0.47600000000000003,10,11,0.0,0,0,0.33299999999999996,2,4
Marcos Giron,0.613,0.7070000000000001,0.272,0.506,0.48,0.063,0.079,29,Two-handed,41,49,,,0.95,0.602,0.377,,United States,61,0,0.023,0.037000000000000005,"Fast (H, G)",0,0.83,0.47700000000000004,0,0.25,180,2023-02-27,0,1900-01-01 01:54:00,0.462,0,Right-handed,0.94,2008784,,0.184,0.35,7,0.779,0.629,0.447,0,0,0.49,0,2014.0,0,2022-02-28,2022-05-16,1888,731,0,1993-07-24,0.462,60,70,0.29,0.485,48,51,0.33299999999999996,6,12,0.0,0,0,0.462,6,7
Filip Krajinovic,0.639,0.6859999999999999,0.285,0.51,0.512,0.057999999999999996,0.105,31,Two-handed,25,26,2017.0,,1.05,0.606,0.413,,Serbia,52,0,0.025,0.038,Grass,373,1.0,0.499,0,0.457,185,2023-02-27,0,1900-01-01 01:44:00,0.498,0,Right-handed,0.99,5207059,,0.23399999999999999,0.375,14,0.7659999999999999,0.622,0.489,0,0,0.499,0,2008.0,0,2020-08-31,2018-04-23,1902,730,4,1992-02-27,0.498,123,124,0.15,0.5,82,82,0.493,35,36,0.0,0,0,0.455,5,6
Jason Kubler,0.622,0.703,0.282,0.496,0.47600000000000003,0.07,0.087,29,Two-handed,73,71,,,1.07,0.598,0.429,,Australia,73,0,0.048,0.035,Grass,0,0.99,0.495,0,,178,2023-02-20,0,1900-01-01 02:17:00,0.48700000000000004,0,Right-handed,0.95,685676,,0.213,0.35600000000000004,7,0.785,0.625,0.495,0,0,0.493,0,2010.0,0,2023-02-27,2023-02-27,1856,710,0,1993-05-19,0.48700000000000004,19,20,0.41,0.423,11,15,0.5,2,2,0.0,0,0,0.667,6,3
Juan Pablo Varillas Patino Samudio,0.556,0.705,0.28300000000000003,0.53,0.503,0.06,0.064,27,Two-handed,105,76,,,0.89,0.5489999999999999,0.402,,Peru,120,0,0.027999999999999997,0.032,Clay,0,1.0,0.494,0,0.0,185,2023-02-27,0,1900-01-01 01:52:00,0.425,0,Right-handed,1.0,371200,,0.21100000000000002,0.37200000000000005,9,0.7879999999999999,0.627,0.46399999999999997,0,0,0.498,0,2013.0,0,2023-02-20,2023-03-06,1790,681,0,1995-10-06,0.425,17,23,0.53,0.16699999999999998,1,5,0.5,16,16,0.0,0,0,0.0,0,0
Ugo Humbert,0.62,0.7340000000000001,0.26899999999999996,0.518,0.47100000000000003,0.084,0.081,24,Two-handed,25,25,2020.0,,0.98,0.64,0.353,,France,77,0,0.034,0.036000000000000004,Grass,351,0.95,0.501,0,0.389,188,2023-02-06,0,1900-01-01 02:01:00,0.473,0,Left-handed,0.99,2856586,,0.172,0.344,6,0.8190000000000001,0.652,0.491,0,3,0.499,0,2016.0,0,2021-01-11,2021-06-21,1849,678,4,1998-06-26,0.473,71,79,0.47,0.479,46,50,0.308,8,18,0.0,0,0,0.607,17,11
